YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2004,7F3,2,7,316,8,0,0,0
2004,7F3,2,1,129,5,1,0,0
2004,7F3,2,3,012,1,0,0,0
2004,7F3,3,7,316,20,0,0,0
2004,7F3,3,1,129,2,0,0,0
2004,7F3,4,7,316,16,1,0,0
2004,7F3,4,1,129,4,0,0,0
2004,7G4,1,3,012,5,1,0,0
2004,7G4,1,1,129,4,1,0,0
2004,7G4,2,1,129,10,5,0,0
2004,7G4,2,2,097,0,1,0,0
2004,7G4,2,7,316,3,0,0,0
2004,7G4,3,7,316,5,3,0,0
2004,7G4,3,1,129,0,4,0,0
2004,7G4,4,3,012,0,0,1,0
2004,7G4,4,1,129,0,1,1,0
2004,7G4,4,7,316,1,0,0,0
2004,7G2,1,0,000,0,0,0,0
2004,7G2,2,7,316,5,0,0,0
2004,7G2,3,7,316,3,0,0,0
2004,7G2,4,0,000,0,0,0,0
2004,7H1,1,7,316,3,0,0,0
2004,7H1,2,1,129,0,5,0,0
2004,7H1,2,7,316,58,2,0,0
2004,7H1,2,2,097,0,1,0,0
2004,7H1,2,5,833,1,0,0,0
2004,7H1,3,2,097,0,3,0,0
2004,7H1,3,1,129,7,2,0,0
2004,7H1,3,7,316,26,1,0,0
2004,7H1,4,1,129,0,5,0,0
2004,7H1,4,7,316,17,2,0,0
2004,7H1,4,3,012,0,0,3,0
2004,7G3,1,7,316,2,0,0,0
2004,7G3,1,1,129,1,0,0,0
2004,7G3,1,3,012,1,0,0,0
2004,7G3,2,1,129,5,2,0,0
2004,7G3,2,7,316,12,0,0,0
2004,7G3,3,1,129,4,2,0,0
2004,7G3,3,2,097,0,3,1,0
2004,7G3,3,4,261,0,1,0,0
2004,7G3,3,7,316,10,0,0,0
2004,7G3,3,3,012,1,0,0,0
2004,7G3,4,7,316,22,0,0,0
2004,7G3,4,1,129,1,0,0,0
2004,7G3,4,3,012,0,0,1,0
2004,8H4,1,7,316,0,22,0,0
2004,8H4,1,1,129,5,1,0,0
2004,8H4,1,3,012,1,0,0,0
2004,8H4,2,1,129,1,2,0,0
2004,8H4,2,7,316,1,0,0,0
2004,8H4,3,7,316,5,1,0,0
2004,8H4,4,7,316,2,0,0,0
2004,7H4,1,7,316,25,0,0,0
2004,7H4,1,1,129,5,2,0,0
2004,7H4,2,7,316,34,0,0,0
2004,7H4,2,1,129,4,0,0,0
2004,7H4,3,7,316,19,0,0,0
2004,7H4,3,1,129,4,0,0,0
2004,7H4,3,6,802,0,1,0,0
2004,7H4,4,7,316,29,0,0,0
2004,7H4,4,1,129,12,1,0,0
2004,8H1,1,7,316,12,0,0,0
2004,8H1,2,0,000,0,0,0,0
2004,8H1,3,7,316,5,0,0,0
2004,8H1,3,9,375,1,1,0,0
2004,8H1,4,7,316,4,0,0,0
2004,8H3,1,2,097,0,1,1,0
2004,8H3,1,7,316,1,0,0,0
2004,8H3,2,3,012,1,0,0,0
2004,8H3,3,2,097,0,0,1,0
2004,8H3,3,7,316,1,0,0,0
2004,8H3,4,3,012,1,6,0,0
2004,8H3,4,5,833,5,1,0,0
2004,8H2,1,7,316,14,0,0,0
2004,8H2,1,2,097,0,0,1,0
2004,8H2,2,3,012,0,2,0,0
2004,8H2,2,7,316,1,0,0,0
2004,8H2,2,1,129,1,0,0,0
2004,8H2,3,13,315,0,13,0,0
2004,8H2,3,7,316,4,0,0,0
2004,8H2,4,7,316,16,0,0,0
2004,8I2,1,7,316,8,0,0,0
2004,8I2,1,1,129,2,0,0,0
2004,8I2,2,0,000,0,0,0,0
2004,8I2,3,0,000,0,0,0,0
2004,8I2,4,1,129,2,0,0,0
2004,8I2,4,7,316,1,0,0,0
2004,8I3,1,7,316,5,0,0,0
2004,8I3,1,1,129,2,0,0,0
2004,8I3,2,1,129,0,1,0,0
2004,8I3,2,7,316,2,0,0,0
2004,8I3,3,1,129,1,0,0,0
2004,8I3,4,7,316,3,0,0,0
2004,8I3,4,1,129,9,0,0,0
2004,6F3,1,7,316,14,0,0,0
2004,6F3,1,1,129,13,1,0,0
2004,6F3,2,1,129,4,2,0,0
2004,6F3,2,7,316,19,0,0,0
2004,6F3,2,2,097,0,1,0,0
2004,6F3,3,7,316,15,0,0,0
2004,6F3,3,4,261,0,1,0,0
2004,6F3,3,2,097,0,1,0,0
2004,6F3,3,1,129,1,1,0,0
2004,6F3,4,1,129,5,1,0,0
2004,6F3,4,7,316,17,0,0,0
2004,6F3,4,3,012,1,0,0,0
2004,6F3,4,2,097,0,1,0,0
2004,8I1,1,7,316,21,0,0,0
2004,8I1,1,25,585,1,0,0,0
2004,8I1,2,7,316,12,0,0,0
2004,8I1,3,1,129,2,0,0,0
2004,8I1,3,7,316,6,0,0,0
2004,8I1,3,25,585,0,1,0,0
2004,8I1,3,2,097,1,0,0,0
2004,8I1,4,7,316,20,0,0,0
2004,8I1,4,1,129,3,2,0,0
2004,8I1,4,25,585,1,0,0,0
2004,6F3,1,2,097,0,2,1,0
2004,6F3,1,25,585,2,1,0,0
2004,6F3,2,2,097,0,1,0,0
2004,6F3,2,1,129,2,0,0,0
2004,6F3,3,25,585,0,1,0,0
2004,6F3,3,7,316,2,0,0,0
2004,6F3,4,7,316,2,0,0,0
2004,6F3,4,25,585,1,0,0,0
2004,6F3,4,1,129,2,0,0,0
2004,6F1,1,7,316,2,1,0,0
2004,6F1,1,1,129,2,0,0,0
2004,6F1,2,7,316,2,0,0,0
2004,6F1,3,7,316,1,0,0,0
2004,6F1,4,1,129,1,0,0,0
2004,6F1,4,3,012,1,0,0,0
2004,6G4,1,7,316,3,0,0,0
2004,6G4,1,8,371,2,0,0,0
2004,6G4,1,2,097,1,0,0,0
2004,6G4,2,7,316,4,0,0,0
2004,6G4,3,2,097,0,2,0,0
2004,6G4,3,25,585,1,0,0,0
2004,6G4,3,1,129,0,2,0,0
2004,6G4,4,25,585,1,0,0,0
2004,6G4,4,1,129,3,2,0,0
2004,6G4,4,7,316,1,0,0,0
2004,6G3,1,1,129,1,3,2,0
2004,6G3,1,7,316,2,0,0,0
2004,6G3,1,3,012,0,1,0,0
2004,6G3,2,1,129,0,6,0,0
2004,6G3,2,3,012,1,2,1,0
2004,6G3,2,7,316,1,0,0,0
2004,6G3,3,1,129,0,4,4,5
2004,6G3,3,7,316,2,0,0,0
2004,6G3,4,1,129,3,19,0,0
2004,6G3,4,7,316,2,0,0,0
2004,4G1,1,1,129,1,1,0,0
2004,4G1,1,5,833,0,1,0,0
2004,4G1,1,7,316,1,0,0,0
2004,4G1,1,5.1,833,0,8,0,0
2004,4G1,2,2,097,0,1,0,0
2004,4G1,2,7,316,6,0,0,0
2004,4G1,2,5,833,1,0,0,0
2004,4G1,3,7,316,5,0,0,0
2004,4G1,3,3,012,1,0,0,0
2004,4G1,4,1,129,0,1,0,0
2004,4G1,4,3,012,0,2,1,0
2004,4G2,1,1,129,0,4,2,0
2004,4G2,2,3,012,0,1,1,0
2004,4G2,2,1,129,0,0,1,0
2004,4G2,2,7,316,1,0,0,0
2004,4G2,2,7.1,316,0,10,0,0
2004,4G2,3,1,129,1,0,1,1
2004,4G2,3,7,316,8,0,0,0
2004,4G2,4,7,316,7,1,0,0
2004,5G1,1,1,129,5,0,0,0
2004,5G1,1,7,316,1,0,0,0
2004,5G1,1,4,261,1,0,0,0
2004,5G1,1,2,097,0,1,0,0
2004,5G1,2,7,316,2,0,0,0
2004,5G1,2,1,129,0,2,0,0
2004,5G1,3,7,316,1,0,0,0
2004,5G1,3,1,129,0,2,0,0
2004,5G1,4,0,000,0,0,0,0
2004,6G2,1,7,316,4,0,0,0
2004,6G2,2,1,129,3,1,3,0
2004,6G2,2,7,316,4,1,0,0
2004,6G2,3,7,316,3,0,0,0
2004,6G2,3,1,129,2,1,0,1
2004,6G2,3,6,802,0,1,0,0
2004,6G2,4,7,316,6,0,0,0
2004,6G2,4,3,012,0,1,0,0
2004,4H1,1,7,316,1,1,0,0
2004,4H1,2,1,129,7,3,0,0
2004,4H1,2,2,097,0,0,1,0
2004,4H1,2,7,316,1,0,0,0
2004,4H1,3,7,316,2,1,0,0
2004,4H1,3,2,097,0,0,1,0
2004,4H1,4,7,316,3,0,0,0
2004,4H3,1,7,316,4,0,0,0
2004,4H3,2,7,316,3,0,0,0
2004,4H3,2,4,261,2,0,0,0
2004,4H3,2,1,129,1,0,0,0
2004,4H3,2,2,097,0,1,0,0
2004,4H3,3,2,097,0,0,1,0
2004,4H3,3,7,316,1,0,0,0
2004,4H3,4,7,316,2,0,0,0
2004,8F4,1,3,012,2,6,1,0
2004,8F4,1,7,316,1,0,0,0
2004,8F4,3,7,316,1,0,0,0
2004,8F4,3,3,012,0,2,0,0
2004,8F4,4,7,316,1,0,0,0
2004,8F4,4,1,129,2,0,0,0
2004,8F4,4,7.1,316,0,7,0,0
2004,8F3,1,1,129,5,0,0,0
2004,8F3,1,7,316,2,0,0,0
2004,8F3,2,3,012,1,0,0,0
2004,8F3,2,1,129,1,0,0,0
2004,8F3,3,7,316,1,0,0,0
