YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
1997,C30,1,2,097,0,2,0,0,0,0,0,0,0,0,0
1997,C30,1,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,C30,6,2,097,0,9,0,0,0,0,0,0,0,0,0
1997,C30,6,3,012,0,2,0,0,0,0,0,0,0,0,0
1997,C30,6,7,316,0,1,0,0,0,0,0,0,0,0,0
1997,C40,1,25,585,0,2,0,0,0,0,0,0,0,0,0
1997,C40,1,3,012,0,0,0,1,0,0,0,0,0,0,0
1997,C40,1,4,261,0,0,0,0,0,0,0,0,0,0,1
1997,C40,1,2,097,0,1,0,0,0,1,0,0,0,0,0
1997,C28,6,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,C28,6,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,H43,1,25,585,0,1,1,1,1,1,0,0,0,0,0
1997,H43,1,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,H43,1,7.1,316,0,5,1,0,1,0,0,0,0,0,0
1997,H43,1,7,316,0,2,0,0,0,0,0,0,0,0,0
1997,C29,1,9,375,0,0,0,0,0,0,0,1,0,0,0
1997,C29,1,3,012,0,0,0,0,0,0,0,0,1,0,0
1997,C29,4,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,C29,6,3,012,0,2,0,0,0,0,0,0,0,0,0
1997,C29,6,7,316,0,0,0,0,0,0,0,0,0,0,1
1997,C29,6,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,C29,5,3,012,0,0,0,0,0,0,1,0,0,0,0
1997,H55,1,25,585,0,10,0,0,0,0,0,0,0,1,0
1997,H55,1,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,H55,1,7.1,316,0,1,2,0,0,0,0,0,0,0,0
1997,T08,2,7,316,0,1,0,0,0,0,0,0,0,0,0
1997,T08,2,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,C32,2,7,316,0,1,0,0,0,0,0,0,0,0,0
1997,C38,1,3,012,0,2,0,0,1,0,0,0,0,0,0
1997,C38,1,5,833,2,1,0,0,0,0,0,0,0,0,0
1997,C38,1,2,097,0,0,0,0,0,0,0,1,1,0,0
1997,C38,1,5,833,0,0,0,0,0,0,0,1,0,0,0
1997,C28,3,2,097,0,1,0,0,2,1,1,0,0,0,0
1997,C28,4,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,C28,2,7.1,316,0,0,0,0,0,0,0,0,0,1,0
1997,C28,2,5,833,3,2,0,0,0,0,0,0,0,0,0
1997,C28,2,3,012,0,0,0,1,0,0,0,0,0,0,0
1997,C28,2,5,833,0,0,0,0,0,0,0,0,0,0,1
1997,C28,5,7,316,0,0,0,0,0,0,0,0,0,0,2
