YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2002,H11,3,9,375,0,2,0,3,4,1,1,0,0,0,0
2002,H11,3,4,261,1,1,0,0,0,0,0,0,0,0,0
2002,H11,3,10,379,0,0,1,2,0,0,0,0,0,0,0
2002,H11,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,H11,3,7,316,0,3,0,0,0,0,0,0,0,0,0
2002,H11,3,1,129,1,2,0,1,0,1,0,0,0,0,0
2002,H11,3,5,833,2,3,0,0,0,0,0,0,0,0,0
2002,H11,3,1,129,0,0,0,0,1,0,0,0,0,0,0
2002,H11,4,3,012,0,3,0,0,3,0,0,0,0,0,0
2002,H11,4,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,H11,5,8.1,371,0,2,2,0,0,0,0,0,0,0,0
2002,H11,5,9,375,0,0,0,1,0,0,0,0,0,0,0
2002,H11,5,8,371,0,0,0,0,0,1,0,0,0,0,0
2002,C06,4,3,012,0,1,0,0,0,0,1,0,0,0,0
2002,C06,1,3,012,0,3,0,1,1,0,1,0,1,0,0
2002,C06,3,3,012,0,1,0,2,1,2,0,1,0,1,0
2002,C05,2,1,129,0,23,0,0,0,0,0,0,0,0,0
2002,C05,2,3,012,0,1,0,0,0,0,0,0,0,0,0
2002,C05,1,1,129,0,16,0,0,0,0,0,0,0,0,0
2002,C05,1,7,316,0,0,0,0,0,0,0,0,0,0,1
2002,C05,1,6,802,2,1,0,0,0,0,0,0,0,0,0
2002,H39,1,2,097,0,1,0,0,0,1,0,0,0,0,0
2002,H39,1,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,H39,6,2,097,0,9,0,1,0,0,0,0,0,0,0
2002,H39,6,25,585,0,2,5,8,4,1,0,0,0,0,0
2002,H39,6,6,802,1,1,0,0,0,0,0,0,0,0,0
2002,H39,6,4,261,0,0,0,0,0,0,0,0,0,1,0
2002,H39,3,25,585,0,5,1,2,1,2,3,0,0,0,0
2002,H39,3,2,097,0,2,0,1,0,0,0,0,0,0,0
2002,H39,3,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C24,1,3,012,0,0,0,1,0,1,0,0,0,0,0
2002,C24,1,4,261,0,0,0,0,1,0,0,0,0,0,0
2002,C24,2,3,012,0,1,0,1,0,0,0,0,0,0,0
2002,C24,2,25,585,0,1,0,0,0,0,0,0,0,0,0
2002,C24,2,1,129,0,0,0,0,0,0,0,0,1,0,0
2002,C24,4,4,261,0,0,0,0,1,0,0,0,0,0,0
2002,C24,4,25,585,0,1,0,1,1,1,1,0,0,0,0
2002,C24,5,2,097,0,2,0,0,0,0,0,0,0,0,0
2002,C24,5,25,585,0,3,0,2,1,0,0,0,0,0,0
2002,C24,5,4,261,0,2,0,0,0,0,0,0,0,1,0
2002,C24,6,3,012,0,1,0,0,0,0,0,0,0,1,0
2002,C24,6,25,585,0,4,0,0,1,0,0,0,0,0,0
2002,C24,6,4,261,0,1,0,0,0,0,0,0,1,0,0
2002,C02,1,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,C02,2,7,316,0,0,0,0,0,0,0,1,1,0,0
2002,C02,3,7,316,0,0,0,1,0,0,0,0,0,1,0
2002,C02,3,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C02,3,3,012,0,0,0,0,0,1,0,0,0,0,0
2002,C07,1,3,012,0,11,0,2,1,1,0,0,1,0,0
2002,C07,1,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C07,2,7,316,0,0,0,0,0,0,0,0,0,0,1
2002,C07,2,3,012,0,2,0,1,0,2,1,0,0,0,0
2002,C07,2,2,097,0,0,0,0,0,0,0,1,0,0,0
2002,C07,4,1,129,0,12,0,0,0,0,0,0,0,0,0
2002,C07,4,2,097,0,3,0,0,0,0,0,0,0,0,0
2002,C07,4,3,012,0,0,0,0,0,1,0,0,0,0,0
2002,C07,4,7,316,0,0,0,0,0,0,0,0,1,0,0
2002,C07,5,1,129,0,6,0,0,0,0,0,0,0,0,0
2002,C07,5,3,012,0,1,0,0,0,0,1,0,1,0,0
2002,C07,8,1,129,0,11,0,0,0,0,0,0,0,0,0
2002,C07,8,2,097,0,3,0,0,0,0,0,1,0,0,0
2002,C07,8,3,012,0,0,0,0,0,0,0,1,0,0,0
2002,C08,1,2,097,0,3,0,0,1,0,0,0,0,0,0
2002,C08,1,7,316,0,0,0,0,0,0,1,0,0,0,0
2002,C08,1,3,012,0,1,0,1,0,1,0,0,0,0,0
2002,C08,1,8,371,0,0,0,0,1,0,0,0,0,1,0
2002,C08,1,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C08,2,2,097,0,2,0,0,0,1,0,0,0,0,0
2002,C08,2,3,012,0,5,0,2,0,0,0,0,0,0,0
2002,C08,2,7,316,0,0,0,0,0,0,1,0,0,0,0
2002,C08,2,8,371,0,0,0,0,1,0,0,0,0,0,0
2002,C08,3,1,129,0,4,0,0,0,0,0,0,0,0,0
2002,C08,3,3,012,0,0,0,2,1,1,0,0,0,0,0
2002,C08,3,7,316,0,0,0,0,2,0,0,0,0,0,0
2002,C08,3,2,097,0,0,0,0,0,1,0,0,0,0,0
2002,C08,6,1,129,0,7,0,0,0,0,0,0,0,0,0
2002,C08,6,2,097,0,3,0,0,0,0,0,0,0,0,0
2002,C08,6,3,012,0,1,0,0,1,0,0,0,0,0,0
2002,C08,4,1,129,0,8,0,0,0,0,0,0,0,0,0
2002,C08,4,2,097,0,2,0,0,0,0,0,0,0,0,0
2002,C08,4,8,371,0,0,0,0,0,0,1,0,0,0,0
2002,C08,4,3,012,0,0,0,2,0,0,0,0,0,0,0
2002,C08,8,3,012,0,2,0,0,0,0,0,0,0,0,0
2002,C08,8,7,316,0,0,0,0,0,1,0,0,0,0,1
2002,C08,8,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C15,2,7,316,0,0,0,0,0,1,0,0,0,0,0
2002,C15,2,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C15,3,7,316,0,3,1,2,0,0,0,0,0,0,0
2002,C15,3,5,833,0,0,0,0,0,0,0,0,0,0,1
2002,C15,3,1,129,0,0,0,0,0,1,0,0,0,0,0
2002,C15,5,1,129,0,1,0,1,0,0,0,1,1,0,0
2002,C15,5,5,833,0,0,0,0,0,0,0,1,0,0,0
2002,C15,6,7,316,0,1,0,1,0,0,0,0,0,0,0
2002,C15,6,8,371,2,1,0,0,0,0,0,0,0,0,0
2002,C15,6,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C15,7,1,129,0,9,0,0,0,0,0,0,0,0,0
2002,C15,7,7,316,0,1,0,0,0,0,0,0,0,0,0
2002,C14,7,4,261,0,0,0,0,1,0,0,0,0,0,0
2002,C14,7,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C14,7,1,129,0,0,0,0,0,0,0,0,1,0,0
2002,C14,7,7,316,0,0,0,0,0,0,1,0,0,0,0
2002,C14,7,3,012,0,0,0,0,0,0,1,0,0,0,0
2002,C14,7,7,316,2,1,0,0,0,0,0,0,0,0,0
2002,C14,6,2,097,0,0,0,0,0,0,1,0,0,0,0
2002,C14,6,7,316,0,2,0,0,0,0,0,0,0,0,0
2002,C14,6,1,129,0,2,0,0,0,0,0,0,0,0,0
2002,C14,6,5,833,2,2,0,0,0,0,0,0,0,0,0
2002,C14,5,6,802,2,1,0,0,0,0,0,0,0,0,0
2002,C14,5,1,129,1,3,0,0,0,0,0,0,0,0,0
2002,C14,5,4,261,0,1,0,0,0,0,0,0,0,0,0
2002,C14,4,7,316,0,2,0,0,0,1,0,1,0,1,0
2002,C14,4,5,833,0,0,0,0,0,0,0,0,0,1,0
2002,C14,1,7,316,0,0,0,1,0,0,1,0,0,0,0
2002,C14,1,5,833,0,0,0,0,0,0,0,0,0,1,0
2002,C14,2,7,316,0,0,0,0,1,0,0,0,0,0,1
2002,C14,2,4,261,0,1,0,0,0,0,0,0,0,0,0
2002,C16,3,7,316,0,0,0,0,0,0,2,0,0,1,0
2002,C16,3,6,802,1,1,0,0,0,0,0,0,0,0,0
2002,C16,1,1,129,1,1,0,0,0,0,0,0,0,0,0
2002,C16,5,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C13,2,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,C13,3,7,316,0,0,0,1,0,1,0,0,0,0,0
2002,C13,4,7,316,0,0,2,0,1,0,0,0,0,0,0
2002,C13,4,3,012,0,0,0,0,0,1,0,0,0,0,0
2002,C13,6,7,316,0,0,0,0,0,1,0,1,0,0,0
2002,C13,6,5,833,3,1,0,0,0,0,0,0,0,0,0
2002,C20,4,4,261,0,0,0,0,0,0,1,0,0,0,0
2002,C23,4,3,012,0,0,0,0,0,1,0,0,0,0,0
2002,C23,1,8,371,0,0,0,0,0,0,0,1,0,0,0
2002,C23,1,1,129,0,0,0,0,0,0,0,0,1,0,0
2002,C22,4,3,012,0,6,0,0,0,0,0,0,0,0,0
2002,C22,4,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C22,6,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C22,6,7,316,0,0,0,0,0,0,0,0,0,1,0
2002,C22,6,3,012,0,1,0,0,0,0,0,0,0,0,0
2002,C22,2,3,012,0,1,0,0,0,0,0,0,0,0,0
2002,C22,2,25,585,2,1,0,0,0,0,0,0,0,0,0
2002,C03,2,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,C03,1,3,012,0,2,0,0,0,1,3,1,1,1,0
2002,C03,5,3,012,0,2,0,0,1,0,1,1,0,0,0
2002,C03,5,1,129,1,4,0,0,0,0,0,0,0,0,0
2002,C03,5,5,833,2,2,0,0,0,0,0,0,0,0,0
2002,C04,1,69,999,0,2,0,0,0,0,0,0,0,0,0
2002,C04,1,7,316,0,0,0,0,0,1,0,0,0,0,0
2002,C04,1,3,012,0,2,0,1,2,1,1,1,0,1,0
2002,C04,2,1,129,0,2,0,0,0,0,0,0,0,0,0
2002,C04,2,3,012,0,2,0,0,1,0,1,0,0,0,0
2002,C04,3,3,012,0,5,0,0,0,0,2,1,1,1,1
2002,C04,4,5,833,1,4,0,1,0,0,0,0,0,0,0
2002,C04,4,6,802,1,2,0,0,0,0,0,0,0,0,0
2002,C04,4,6,802,3,4,0,0,0,0,0,0,0,0,0
2002,C04,4,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C04,4,3,012,0,1,0,1,1,0,1,0,1,0,0
2002,C04,4,1,129,0,3,0,0,0,0,0,0,0,0,0
2002,C04,6,3,012,0,1,0,2,0,0,1,0,0,0,0
2002,C04,6,5,833,3,5,0,0,0,0,0,0,0,0,0
2002,C04,6,1,129,0,2,0,0,0,0,0,0,1,0,0
2002,C04,6,5,833,2,1,0,0,0,0,0,0,0,0,0
2002,C19,3,1,129,0,2,0,1,1,1,0,0,0,0,0
2002,C19,3,25,585,0,1,0,0,0,0,0,0,0,0,0
2002,C21,1,11,531,0,0,1,0,0,0,0,0,0,0,0
2002,C21,1,3,012,0,2,0,0,4,1,0,0,1,0,0
2002,C21,2,3,012,0,2,0,0,2,1,2,3,0,0,0
2002,C21,2,6,802,1,1,0,0,0,0,0,0,0,0,0
2002,C20,5,1,129,0,3,0,0,0,0,0,0,0,0,0
2002,C20,3,3,012,0,0,0,0,0,1,1,0,0,0,0
2002,C20,3,8,371,0,0,0,0,0,0,0,1,0,1,0
2002,C20,1,7,316,0,2,0,1,0,0,0,0,0,0,0
2002,C20,1,3,012,0,5,0,0,1,1,0,0,0,0,0
2002,C20,1,8,371,0,1,0,0,0,0,0,0,0,0,0
2002,C20,1,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C20,1,4,261,0,1,0,0,1,0,1,0,0,0,0
2002,C20,4,3,012,0,1,0,1,1,1,1,2,0,0,0
2002,C20,4,1,129,0,7,0,0,0,0,0,0,0,0,0
2002,C20,4,5,833,1,2,0,0,0,0,0,0,0,0,0
2002,C20,4,8,371,0,1,0,0,1,0,0,0,0,0,0
2002,C17,2,1,129,0,5,0,0,1,2,0,0,0,0,0
2002,C17,2,25,585,0,0,0,3,3,0,1,0,0,0,0
2002,C17,2,3,012,0,0,0,1,0,0,0,0,0,0,0
2002,C18,1,7,316,0,1,1,4,1,0,0,0,0,0,0
2002,C18,1,3,012,0,2,0,0,0,0,0,0,0,0,0
2002,C18,1,1,129,0,7,0,1,1,0,0,0,0,0,0
2002,C18,3,1,129,0,6,0,2,2,0,0,0,0,0,0
2002,C18,6,7,316,0,0,0,2,0,0,0,0,0,0,0
2002,C18,6,5,833,0,0,0,0,0,1,0,0,0,0,0
2002,C19,4,7,316,0,0,0,0,2,0,0,0,1,0,0
2002,C19,5,7,316,0,0,0,0,3,0,0,0,0,0,0
2002,C19,2,7,316,0,2,0,0,1,1,0,0,0,0,0
2002,C19,2,1,129,1,2,0,0,4,1,0,1,0,0,0
2002,C19,2,3,012,0,0,0,0,0,0,1,0,0,0,0
2002,C19,2,5,833,0,0,0,0,0,0,0,0,0,0,1
2002,C19,1,7,316,0,1,0,5,1,2,0,0,0,0,0
2002,C19,1,1,129,0,5,0,3,0,0,0,0,0,0,0
2002,C10,6,3,012,0,1,0,0,0,0,0,0,0,0,0
2002,C10,6,1,129,0,2,0,0,0,0,0,0,0,0,0
